Date,NHS workforce COVID-19 absences - Nursing and midwifery staff - Weekly average,NHS workforce COVID-19 absences - Medical and dental staff - Weekly average,NHS workforce COVID-19 absences - Other staff - Weekly average,NHS workforce COVID-19 absences - All staff - Weekly average
2020-12-29,1762.4285714285713,53.142857142857146,1039.857142857143,2855.4285714285716
2021-01-05,1709.857142857143,32.714285714285715,1158.857142857143,2901.4285714285716
2021-01-12,2543.4285714285716,71.71428571428571,2328.5714285714284,4943.714285714286
2021-01-19,2666.8571428571427,69.57142857142857,2462.8571428571427,5199.285714285714
2021-01-26,2722.5714285714284,65.14285714285714,2363.285714285714,5151
2021-02-02,2589,62.57142857142857,2156.1428571428573,4807.714285714286
2021-02-09,2253.5714285714284,48.57142857142857,1923.857142857143,4226
2021-02-16,2193,33.42857142857143,1776.2857142857142,4002.714285714286
2021-02-23,2172,28.285714285714285,1749.142857142857,3949.4285714285716
2021-03-02,1990.7142857142858,34,1654.7142857142858,3679.4285714285716
2021-03-09,1741,28.285714285714285,1517.142857142857,3286.4285714285716
2021-03-16,1694.7142857142858,28.571428571428573,1563,3286.2857142857147
2021-03-23,1708.7142857142858,26.142857142857142,1652.857142857143,3387.714285714286
2021-03-30,1734.857142857143,24.857142857142858,1633.7142857142858,3393.4285714285716
2021-04-06,1586.142857142857,15.142857142857142,1393.5714285714287,2994.857142857143
2021-04-13,1534.4285714285713,21.428571428571427,1486.7142857142858,3042.5714285714284
2021-04-20,1556.4285714285713,22.428571428571427,1506.142857142857,3085
2021-04-27,1394.4285714285713,17.285714285714285,1298.2857142857142,2710
2021-05-04,710,11.857142857142858,523.1428571428571,1245
2021-05-11,635.4285714285714,11.428571428571429,480.2857142857143,1127.142857142857
2021-05-18,622.5714285714286,10.428571428571429,494.42857142857144,1127.4285714285716
2021-05-25,643.2857142857143,15,498.7142857142857,1157
2021-06-01,684.2857142857143,15.142857142857142,538.1428571428571,1237.5714285714284
2021-06-08,771.4285714285714,18,585.1428571428571,1374.5714285714284
2021-06-15,799.1428571428571,34.714285714285715,658.8571428571429,1492.7142857142858
2021-06-22,921.1428571428571,32.57142857142857,757.2857142857143,1711
2021-06-29,1264.142857142857,41.857142857142854,1049.857142857143,2355.857142857143
2021-07-06,1457.142857142857,61,1242.142857142857,2760.285714285714
2021-07-13,1286.7142857142858,56.285714285714285,1141.4285714285713,2484.4285714285716
2021-07-20,1119.4285714285713,45.57142857142857,944.4285714285714,2109.4285714285716
2021-07-27,1015.8571428571429,48.42857142857143,823.8571428571429,1888.142857142857
2021-08-03,898.8571428571429,28,683.4285714285714,1610.2857142857142
2021-08-10,796.8571428571429,22.714285714285715,636.2857142857143,1455.857142857143
2021-08-17,777.4285714285714,27.285714285714285,632.7142857142857,1437.4285714285716
2021-08-24,1031.857142857143,47.42857142857143,903.7142857142857,1983
2021-08-31,1521,105.57142857142857,1462.7142857142858,3089.2857142857147
2021-09-07,1619.2857142857142,84.71428571428571,1594.4285714285713,3298.4285714285716
2021-09-14,1453,71,1504,3028
2021-09-21,1269,56,1202,2527
2021-09-28,1168,40,1038,2246
2021-10-05,1100.142857142857,33.714285714285715,1031.857142857143,2165.714285714286
2021-10-12,951.8571428571429,36.57142857142857,908,1896.4285714285716
2021-10-19,928,23,858,1809
2021-10-26,957,21.142857142857142,860,1838.142857142857
2021-11-02,946,18,819,1783
2021-11-09,950,20,820.1428571428571,1790.142857142857
2021-11-16,969,27,815,1811
2021-11-23,942.2857142857143,31.714285714285715,829.2857142857143,1803.2857142857142
2021-11-30,938.7142857142857,31.857142857142858,800.8571428571429,1771.4285714285716
2021-12-07,996,31,900,1927
2021-12-14,1197.857142857143,54.142857142857146,1067,2319
2021-12-21,1650.4285714285713,86.42857142857143,1548.2857142857142,3285.142857142857
2021-12-28,1785,65,1466,3316
2022-01-04,3027.4285714285716,74.85714285714286,2379.8571428571427,5482.142857142857
2022-01-11,3569.5714285714284,155.85714285714286,3448.714285714286,7174.142857142857
2022-01-18,2358,121.42857142857143,2167.8571428571427,4647.285714285714
2022-01-25,1846,103,1662,3612
2022-02-01,1786.142857142857,110,1555.857142857143,3452
2022-02-08,1817.4285714285713,108.85714285714286,1588.142857142857,3514.4285714285716
2022-02-15,1746,121,1615,3482
2022-02-22,1794.7142857142858,103.42857142857143,1757.2857142857142,3655.4285714285716
2022-03-01,1852.7142857142858,109.14285714285714,1777.7142857142858,3739.5714285714284
